Roll No.,Name,Electronics,Programming,Database,Data Science,Mathematics,DSA
1,Francesco,74,54,94,35,84,88
2,Annamarie,27,88,28,98,97,53
3,Di,37,98,95,90,88,51
4,Ede,82,46,51,29,39,43
5,Jack,88,63,44,65,69,36
6,Keren,60,75,97,46,88,56
7,Gates,100,41,82,67,54,87
8,Freddy,98,45,32,64,77,67
9,Ruperta,44,89,81,39,68,83
10,Neille,96,44,91,82,60,47
11,Kathlene,92,57,70,63,36,44
12,Bernete,31,53,36,38,72,45
13,Hagan,33,85,41,83,56,61
14,Geo,55,53,53,46,60,46
15,Geri,42,66,68,93,98,30
16,Queenie,80,78,74,56,85,68
17,Aphrodite,93,69,37,72,59,37
18,Taite,29,89,86,52,58,82
19,Niki,40,37,84,79,98,38
20,Hodge,80,74,80,49,63,89
21,Ruperta,75,76,86,71,31,65
22,Barbee,94,65,88,45,74,97
23,Allah,33,29,100,42,70,65
24,Grace,44,91,36,58,85,57
25,Caryl,53,100,38,77,41,92
26,Tersina,99,92,90,76,77,49
27,Emmey,40,46,70,72,34,49
28,Lysandra,62,66,75,86,81,40
29,Helen,42,31,88,77,54,78
30,Mattie,92,41,80,97,32,97
31,Cherry,98,70,81,71,65,59
32,Ketti,53,32,65,43,79,64
33,Yank,91,85,81,98,60,54
34,Carlee,52,83,41,99,85,80
35,Rodolfo,35,80,62,82,69,53
36,Cherilynn,63,52,72,28,87,54
37,Annabelle,63,28,79,40,69,88
38,Reinhard,38,65,41,61,70,53
39,Len,36,100,66,47,48,74
40,Sonya,97,64,27,94,49,31
41,Hanni,70,44,85,99,93,64
42,Wilhelm,33,29,89,68,78,51
43,Mortimer,61,57,90,97,38,81
44,Titus,73,80,57,28,76,44
45,Leoine,42,68,91,88,75,30
46,Garnette,57,85,47,39,67,47
47,Cristi,50,55,47,89,39,43
48,Lauree,56,27,54,31,86,67
49,Paco,89,69,67,71,58,45
50,Bryna,57,32,55,48,81,62
51,Charyl,82,67,62,57,86,33
52,Wheeler,99,80,91,61,70,30
53,Robinia,39,93,60,79,77,83
54,Andreana,70,80,85,83,90,29
55,Vonnie,36,80,63,36,79,79
56,Mariellen,78,95,59,81,90,66
57,Diego,74,97,80,56,90,68
58,Nester,47,95,51,37,67,83
59,Curt,92,76,48,30,78,33
60,Rosana,37,77,62,96,92,99
61,Damien,97,46,84,95,62,89
62,Horst,53,70,88,33,62,75
63,Eugenie,60,50,42,41,99,59
64,Wadsworth,48,78,90,43,64,63
65,Ignacio,40,96,67,82,68,51
66,Pennie,27,77,36,33,41,42
67,Townsend,30,44,82,50,75,76
68,Beckie,69,69,49,44,90,39
69,Rozina,91,32,75,96,100,62
70,Sherilyn,38,100,30,65,27,75
71,Lyndon,81,63,49,52,73,64
72,Ebeneser,66,91,27,36,76,92
73,Dorit,45,31,49,39,61,72
74,Phillipp,62,44,58,43,27,55
75,Adrea,43,46,33,76,69,89
76,Poul,85,50,95,100,76,77
77,Alla,27,81,89,93,49,32
78,Tami,40,78,27,77,50,59
79,Kermie,53,55,37,51,64,96
80,Jodee,30,32,31,45,52,46
81,Silva,29,42,39,69,32,47
82,Spud,74,35,43,28,32,32
83,Wendi,78,88,56,38,48,45
84,Marie,59,75,38,45,28,89
85,Locke,95,40,33,57,52,41
86,Giuseppe,90,65,65,73,100,42
87,Sharna,40,54,73,36,33,68
88,Linell,53,41,74,42,74,68
89,Nissy,38,86,95,35,64,94
90,Honor,65,52,80,68,93,66
91,Whitaker,56,79,65,27,54,44
92,Julie,98,35,79,46,37,81
93,Hadrian,95,36,84,99,44,32
94,Clemens,48,34,97,37,32,43
95,Atlante,83,46,99,77,94,64
96,Essie,64,52,89,98,53,65
97,Stormi,93,98,82,46,58,52
98,Prissie,95,80,35,35,48,62
99,Clarisa,43,61,55,95,85,83
100,Schuyler,48,85,27,62,99,42
101,Mordecai,92,61,51,95,87,82
102,Dawn,81,70,70,62,36,73
103,Jorie,68,32,75,46,73,96
104,Gus,64,92,43,79,61,27
105,Jasmin,85,89,75,34,76,50
106,Lenee,97,86,40,47,60,74
107,Starlene,79,44,91,53,43,89
108,Herrick,68,99,58,38,88,53
109,Weber,95,44,85,55,73,46
110,Renata,98,38,95,79,54,68
111,Robbie,85,27,42,80,59,51
112,Owen,60,90,47,39,79,29
113,Rebeca,60,30,96,53,72,38
114,Shelby,65,65,50,65,94,82
115,Leyla,79,91,74,99,86,65
116,Deena,61,28,30,69,91,78
117,Thomas,79,80,64,50,73,30
118,Aida,88,71,41,59,58,84
119,Tremain,98,77,42,76,54,31
120,Aurore,40,65,83,84,41,63
121,Blanca,88,36,79,32,45,31
122,Adelaide,78,67,81,39,31,99
123,Cybal,50,37,55,49,55,94
124,Sydel,46,80,84,77,40,87
125,Irena,73,52,35,71,35,94
126,Gwenni,74,72,46,62,35,75
127,Luke,94,46,91,28,87,33
128,Brooks,87,73,78,40,72,82
129,Bellanca,64,75,63,71,100,53
130,Gelya,76,52,61,37,38,57
131,Darian,67,77,61,85,46,97
132,Odie,96,78,38,77,46,45
133,Giraldo,33,100,56,80,39,81
134,Sumner,55,48,64,29,95,73
135,Rosamund,42,76,88,42,32,29
136,Harriette,60,86,50,63,41,41
137,Deb,74,90,71,70,54,63
138,Tiphanie,49,89,51,89,63,95
139,Tina,28,50,29,30,64,90
140,Jany,62,33,97,33,28,74
141,Skipton,75,84,56,78,28,92
142,Irvine,78,63,65,98,52,50
143,Jacinthe,94,70,98,53,51,33
144,Lil,96,32,50,57,66,50
145,Margalit,65,48,60,98,28,72
146,Jenette,33,79,32,45,28,30
147,Anica,91,68,37,38,56,93
148,Udale,83,75,91,99,36,31
149,Liana,88,84,87,38,98,39
150,Albertina,46,33,82,47,69,67
151,Theresita,66,99,36,29,77,63
152,Donny,65,88,99,57,73,94
